
PARALLEL MONTE CARLO RESULTS
--------------------------------------------------------------------------------
  #  Parameters                                           Sharpe     PF     DD%  Trades   Return
--------------------------------------------------------------------------------
 87  bb_period=20, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 88  bb_period=20, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 89  bb_period=20, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 90  bb_period=20, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 91  bb_period=20, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 92  bb_period=20, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 93  bb_period=20, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 94  bb_period=20, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
 95  bb_period=20, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 96  bb_period=20, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
 97  bb_period=20, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 98  bb_period=20, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
 99  bb_period=20, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
100  bb_period=20, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
101  bb_period=20, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
102  bb_period=20, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
103  bb_period=20, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
104  bb_period=20, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
105  bb_period=20, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
106  bb_period=20, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
107  bb_period=20, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
108  bb_period=20, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
109  bb_period=20, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
110  bb_period=20, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
111  bb_period=20, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
112  bb_period=20, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
113  bb_period=20, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
114  bb_period=20, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
115  bb_period=20, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
116  bb_period=20, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
117  bb_period=20, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
118  bb_period=20, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
119  bb_period=20, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
120  bb_period=20, bb_std=2.8, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
121  bb_period=20, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
122  bb_period=20, bb_std=2.8, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
123  bb_period=25, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
124  bb_period=25, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
125  bb_period=25, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
126  bb_period=25, bb_std=2.2, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
127  bb_period=25, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
128  bb_period=25, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
129  bb_period=25, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
130  bb_period=25, bb_std=2.2, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
131  bb_period=25, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
132  bb_period=25, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
133  bb_period=25, bb_std=2.2, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
134  bb_period=25, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
135  bb_period=25, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
136  bb_period=25, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
137  bb_period=25, bb_std=2.3, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
138  bb_period=25, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
139  bb_period=25, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
140  bb_period=25, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
141  bb_period=25, bb_std=2.3, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
142  bb_period=25, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
143  bb_period=25, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
144  bb_period=25, bb_std=2.3, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
145  bb_period=25, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
146  bb_period=25, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
147  bb_period=25, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
148  bb_period=25, bb_std=2.4, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
149  bb_period=25, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
150  bb_period=25, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
151  bb_period=25, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
152  bb_period=25, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
153  bb_period=25, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
154  bb_period=25, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
155  bb_period=25, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
156  bb_period=25, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
157  bb_period=25, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
158  bb_period=25, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
159  bb_period=25, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
160  bb_period=25, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
161  bb_period=25, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
162  bb_period=25, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
163  bb_period=25, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
164  bb_period=25, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
165  bb_period=25, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
166  bb_period=25, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
167  bb_period=25, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
168  bb_period=25, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
169  bb_period=25, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
170  bb_period=25, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
171  bb_period=25, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
172  bb_period=25, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
173  bb_period=25, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
174  bb_period=25, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
175  bb_period=25, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
176  bb_period=25, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
177  bb_period=25, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
178  bb_period=25, bb_std=2.6, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
179  bb_period=25, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
180  bb_period=25, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
181  bb_period=25, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
182  bb_period=25, bb_std=2.6, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
183  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
184  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
185  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
186  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
187  bb_period=25, bb_std=2.7, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
188  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
189  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
190  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
191  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
192  bb_period=25, bb_std=2.7, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
193  bb_period=25, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
194  bb_period=25, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
195  bb_period=25, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
196  bb_period=25, bb_std=2.7, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
197  bb_period=25, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
198  bb_period=25, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
199  bb_period=25, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
200  bb_period=25, bb_std=2.8, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
